Station-ID;Station-Name;Lat;Long;Startvorgänge;Endvorgänge
3710;Hausener Weg / Ludwig-Landmann-Straße;8.619363;50.131464;100;101
3717;Praunheimer Landstraße / Im Vogelsgesang;8.624699;50.138729;74;63
3916;Lokalbahnhof;8.690737;50.101568;156;170
3954;Kleinmarkthalle;8.682078;50.112255;144;160
3961;Fressgass;8.676285;50.114175;454;467
4014;Campus Westend / Hansaallee / Bremer Straße;8.671475;50.127174;318;269
6723;Lise-Meitner-Str./ Kreuznacherstr. (Novotel);8.642785;50.115468;354;359
7596;Dormero-Hotel / Europaallee;8.643816;50.108311;245;254
12623;Deutschordenstraße / Heinrich-Hoffmann-Straße;8.652706;50.092593;280;279
12656;Bockenheimer Landstraße / Mendelssohnstraße;8.659764;50.119073;170;176
12939;Osthafenplatz / Hanauer Landstraße;8.712003;50.111153;304;377
15847;Carl-Theodor-Reiffenstein-Platz / Hasengasse;8.683522;50.114191;419;442
20077;Theodor-Heuss-Allee / Hamburger- Allee;8.650183;50.113779;156;155
20098;Europaallee  / Londoner Straße;8.648037;50.108542;238;260
23704;DB Netz;8.647724;50.113473;170;178
23722;Studierendenhaus Jügelstraße / Mertonstraße;8.651872;50.118538;244;245
23844;Walter-Kolb-Straße / Elisabethenstraße;8.687041;50.106327;502;479
28824;Adalbertstraße / Schlossstraße;8.643545;50.118894;197;212
28835;Kaufunger Straße / Kleine Seestraße;8.639854;50.123549;210;198
28937;Wilhelm-Leuschner-Straße/ Windmühlstraße;8.669916;50.105664;209;212
28951;Taunusstraße / Gallusanlage;8.670586;50.110448;166;174
28969;Alte Brücke / Mainkai;8.687676;50.109864;383;382
29123;Bürgeramt / Zeil;8.692825;50.114832;169;148
31002;Adalberstraße / Hamburger Allee;8.641078;50.118688;195;119
31166;Bockenheimer Landstraße / Liebigstraße;8.665973;50.117156;581;586
31583;Ostendstraße / Martin-Elsässer-Weg;8.698891;50.111203;148;146
40424;Kurt-Schumacher Straße / Börneplatz;8.687911;50.111982;76;70
43880;Mannheimer Straße / Hardenbergstraße;8.656966;50.103013;214;235
44072;Grüneburgweg / Feldbergstraße;8.665717;50.122811;357;353
47276;Europaallee / Den Haager Straße;8.651459;50.109058;686;681
53648;Goldsteinstraße / Hahnstraße;8.632938;50.084669;82;76
119809;Diesterwegstraße / Schweizer Platz;8.681084;50.101706;114;105
130493;Leonardo-da-Vinci Allee / August-Euler Allee;8.622892;50.113852;32;38
135647;Konstablerwache;8.686701;50.114156;1113;1125
175002;Horst-Schulmann Straße / Sonnemannstraße;8.700187;50.109772;214;230
214365;Jürgen-Ponto-Platz / Neckarstraße (DB-Tower);8.669688;50.109503;580;554
214369;Kaiserplatz / Kaiserstraße;8.674961;50.11042;438;452
214370;Roßmarkt / Am Salzhaus;8.676968;50.111997;375;382
214371;Große Gallusstraße / Kirchnerstraße;8.674964;50.111883;204;196
214375;Opernplatz / Fressgass;8.672365;50.115112;107;100
214376;Opernplatz / Bockenheimer Landstaße;8.670541;50.115572;597;605
214380;Roßmarkt / An der Hauptwache;8.678538;50.112804;754;768
214382;Börse;8.677016;50.114899;235;245
214385;Eschersheimer Landstraße / Adickes-Allee (Polizeip;8.672572;50.131404;218;209
214387;Nibelungenplatz / Nibelungen Allee;8.692561;50.128929;231;208
214388;Grüneburgweg / Siesmayerstraße (Palmengarten);8.658509;50.123245;192;183
214393;Beethovenstraße / Beethovenplatz;8.656476;50.118209;122;122
214394;Bettinaplatz / Bettinastraße;8.656395;50.11386;298;297
214397;Eschenheimer Anlage / Oeder Weg (Verkehrsinsel);8.679772;50.118159;472;485
214399;Bremer Platz / Fürstenbergstraße;8.669728;50.124064;207;203
214401;Marbachweg / Eschersheimer Landstraße;8.670505;50.139417;114;103
214402;Eschersheimer Landstraße / Hügelstraße;8.666972;50.147887;121;106
214414;Südbahnhof / Eingang Diesterwegplatz;8.685851;50.100373;370;376
214417;Ziegelhüttenplatz / Ziegelhüttenweg;8.682107;50.095185;322;315
214419;Hauptbahnhof Haupteingang (Vorplatz);8.664638;50.107198;2316;2254
214441;Bahnhof Niederrad;8.636737;50.080837;199;221
214443;Praunheimer Landstraße / Jean-Albert-Schwarz-Straß;8.624141;50.148203;69;94
